name,price,approximation,market_ID
Celpo 100% celozrnné extra jemné chlebíčky šošovica s morskou soľou 90 g,1.09 €,0,1
MINI TOPINKY SLANINA 150G  BONAVITA,1.79 €,0,1
MINI TOPINKY HORČICA 150G,1.79 €,0,1
CELOZRNNÉ SUCHÁRIKY 140G BONAVITA,1.79 €,0,1
BILLA BIO Sojový nápoj natural 1l,1.59 €,0,1
BILLA BIO Mandľový nápoj nesladený 1l,2.19 €,0,1
BILLA BIO Kokosový nápoj 1l,1.99 €,0,1
BILLA BIO Ovsený nápoj barista 1l,1.99 €,0,1
BILLA BIO Ryžový nápoj s vápnikom 1l,1.89 €,0,1
Body&Future Mandľový nápoj s vitamínom D3 a vápnikom 1 l,2.19 €,0,1
BILLA BIO Sójový nápoj vanilka 1l,1.85 €,0,1
BILLA BIO Ovsenný nápoj s vápnikom 1l,1.79 €,0,1
Body&Future Kokosový nápoj s vitamínom D3 a vápnikom 1 l,2.19 €,0,1
Zott Pure Joy Nápoj z kokosového mlieka a fermentovanej ryže s vápnikom 1 l,2.79 €,0,1
Tami Kaukazský kefír 500 ml,0.99 €,0,1
Babička Kefír 450 g,0.79 €,0,1
Babička Kefír delaktózovaný 450 g,1.39 €,0,1
Tradičný sójový originál sušený nápoj 350 g,3.29 €,0,1
Pribináček Vanilka 125 g,1.35 €,0,1
Pribináček Kakao 125 g,1.35 €,0,1
Pribináček Mixík kakao-vanilka 125 g,1.35 €,0,1
Pribináček Tvarrrohový vanilka 125 g,1.45 €,0,1
Pribináček Banán 125 g,1.35 €,0,1
Pribináček Jahoda 125 g,1.35 €,0,1
Pribináček Kakao 70 g,0.69 €,0,1
Pribináček Vanilka 70 g,0.95 €,0,1
Madeta Lipánek Maxi vanilkový 130 g,1.19 €,0,1
Madeta Lipánek Maxi kakaový 130 g,1.19 €,0,1
